
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0        108 K
Secure System                  188 Services                   0     63,312 K
Registry                       232 Services                   0     34,988 K
smss.exe                       680 Services                   0        328 K
csrss.exe                      764 Services                   0      3,324 K
wininit.exe                   1048 Services                   0      2,136 K
services.exe                  1192 Services                   0      8,112 K
LsaIso.exe                    1212 Services                   0      1,780 K
lsass.exe                     1224 Services                   0     24,752 K
svchost.exe                   1368 Services                   0     40,456 K
WUDFHost.exe                  1388 Services                   0      3,172 K
fontdrvhost.exe               1420 Services                   0        948 K
svchost.exe                   1556 Services                   0     20,096 K
svchost.exe                   1612 Services                   0      5,916 K
WUDFHost.exe                  1628 Services                   0     12,216 K
WUDFHost.exe                  1780 Services                   0      8,612 K
svchost.exe                   1852 Services                   0      5,548 K
svchost.exe                   1864 Services                   0      1,704 K
svchost.exe                   1916 Services                   0      5,488 K
svchost.exe                   1940 Services                   0      3,264 K
svchost.exe                   1952 Services                   0      3,128 K
svchost.exe                   1988 Services                   0      9,708 K
svchost.exe                   1548 Services                   0      6,772 K
svchost.exe                   1608 Services                   0      6,448 K
svchost.exe                   2052 Services                   0      7,732 K
svchost.exe                   2180 Services                   0      5,468 K
IntelCpHDCPSvc.exe            2188 Services                   0      2,040 K
svchost.exe                   2204 Services                   0      6,652 K
svchost.exe                   2232 Services                   0      2,160 K
svchost.exe                   2284 Services                   0     17,312 K
svchost.exe                   2320 Services                   0      6,208 K
svchost.exe                   2560 Services                   0      5,416 K
svchost.exe                   2632 Services                   0     17,452 K
svchost.exe                   2768 Services                   0      8,256 K
svchost.exe                   3032 Services                   0      5,352 K
svchost.exe                   3048 Services                   0      5,956 K
svchost.exe                   3080 Services                   0     11,588 K
svchost.exe                   3120 Services                   0     19,028 K
WUDFHost.exe                  3160 Services                   0      3,912 K
svchost.exe                   3224 Services                   0      2,120 K
svchost.exe                   3232 Services                   0      8,412 K
svchost.exe                   3240 Services                   0      4,760 K
Memory Compression            3368 Services                   0   1,45,472 K
svchost.exe                   3424 Services                   0      6,428 K
svchost.exe                   3496 Services                   0      4,380 K
svchost.exe                   3492 Services                   0      3,780 K
svchost.exe                   3684 Services                   0     13,108 K
svchost.exe                   3740 Services                   0      4,036 K
svchost.exe                   3840 Services                   0     31,236 K
svchost.exe                   3972 Services                   0      7,420 K
svchost.exe                   4024 Services                   0     15,340 K
svchost.exe                   4068 Services                   0     10,280 K
svchost.exe                   3632 Services                   0      2,996 K
spoolsv.exe                   3928 Services                   0      7,100 K
svchost.exe                   4100 Services                   0     17,960 K
svchost.exe                   4152 Services                   0     17,088 K
svchost.exe                   4200 Services                   0      3,484 K
DbxSvc.exe                    4320 Services                   0      1,636 K
OneApp.IGCC.WinService.ex     4332 Services                   0     10,392 K
svchost.exe                   4340 Services                   0     42,888 K
svchost.exe                   4348 Services                   0     40,004 K
svchost.exe                   4356 Services                   0      4,356 K
IntelAudioService.exe         4364 Services                   0      9,604 K
jhi_service.exe               4380 Services                   0      1,584 K
svchost.exe                   4424 Services                   0      7,692 K
ipfsvc.exe                    4432 Services                   0      2,180 K
mc-fw-host.exe                4480 Services                   0   1,99,136 K
updatesvc.exe                 4488 Services                   0      2,332 K
sqlwriter.exe                 4548 Services                   0      2,232 K
RtkAudUService64.exe          4556 Services                   0      6,828 K
ipf_uf.exe                    4564 Services                   0      2,616 K
svchost.exe                   4688 Services                   0      2,312 K
svchost.exe                   4704 Services                   0     14,608 K
WMIRegistrationService.ex     4720 Services                   0      2,472 K
svchost.exe                   4744 Services                   0     15,940 K
svchost.exe                   4968 Services                   0      4,064 K
svchost.exe                   5316 Services                   0      5,112 K
svchost.exe                   7912 Services                   0     23,160 K
svchost.exe                   8076 Services                   0      2,320 K
svchost.exe                   8568 Services                   0     27,728 K
svchost.exe                   8724 Services                   0      5,092 K
AggregatorHost.exe            8804 Services                   0      8,344 K
svchost.exe                   8860 Services                   0      6,524 K
NgcIso.exe                    8896 Services                   0      2,092 K
svchost.exe                   8404 Services                   0      2,140 K
